PHONE_ID;ADDRESS;STATUS;LASTCALL;LOT_NUMB;COMPETITION_NUMB;NAME_SERVICEMAN
1050;Амурская Область Ивановский М Р с Среднебелое a49f8ba4-f15d-45db-bd55-a2002ad8d696  ул Гоголя 2;в ремонте;2017-11-13 10:29:40;1;289;Ивановский Район
1051;Амурская Область Ивановский М Р с Полевое 82158c55-23fe-435e-a3ed-296ba80b46f0  ул Рабочая 15;Таксофон отзвонился;2018-05-29 02:51:08;1;289;Ивановский Район
1052;676934 Амурская Область Ивановский М Р  С П Петропавловский Сельсовет с Петропавловка 9660498e-ce44-4277-a33f-b1a1ce9cb77b пер Кооперативный 11;Таксофон отзвонился;2018-04-23 18:55:57;1;289;Ивановский Район
1053;Амурская Область Ивановский М Р с Правовосточное 2ddd3291-f5e8-4ccf-9695-5f707fde525f ул Центральная 34;Таксофон отзвонился;2018-05-29 06:56:09;1;289;Ивановский Район
1054;676930 Амурская Область Ивановский М Р  С Пе Правовосточный Сельсовет с Некрасовка e556f247-4498-4df7-b958-fd665f785d7f  ул Центральная 23;Таксофон отзвонился;2018-05-29 02:42:16;1;289;Ивановский Район
1055;676930 Амурская Область Ивановский М Р  С П Правовосточный Сельсовет с Садовое 0faf9e67-83c9-48e8-825d-b6a9c34a4eee  ул Центральная 34;Таксофон отзвонился;2018-05-26 18:47:36;1;289;Ивановский Район
1056;Амурская Область Ивановский М Р с Солнечное d1d12893-4aed-4f43-aeb7-06480c893d43  ул Советская 1;Таксофон отзвонился;2018-05-29 03:01:47;1;289;Ивановский Район
1057;676930 Амурская Область Ивановский М Р  С П Приозерный Сельсовет с Надежненское f7290b64-8b3f-475e-a3df-20a1c2077fec  ул Центральная 1;Таксофон отзвонился;2018-01-30 10:47:13;1;289;Ивановский Район
1058;Амурская Область Ивановский М Р с Семиозерка ca7f1eb7-dd0b-4d18-a1ee-f8134e49ddda  ул Кирова 32  2;в ремонте;2017-11-13 10:35:40;1;289;Ивановский Район
1059;Амурская Область Ивановский М Р ст Среднебелая 1210b029-de80-48a9-9a37-b2aa9f97b749  ул Герки Рулева 16;Таксофон отзвонился;2018-05-29 03:11:07;1;289;Ивановский Район
1060;Амурская Область Ивановский М Р с Приозерное cd08a859-bb10-4ed3-9c7b-93c978499e78  ул Ветеранов 1;Таксофон отзвонился;2018-05-29 03:16:08;1;289;Ивановский Район
1061;Амурская Область Ивановский М Р с Троицкое 9463f1f2-1a8c-416a-8635-d5f0a20f3ec1  ул Колхозная 31;Таксофон отзвонился;2018-05-29 03:40:06;1;289;Ивановский Район
1062;676930 Амурская Область Ивановский М Р  С П Ивановский Сельсовет с Успеновка dcd38b7b-39ed-4950-9970-41c4861f80e0 ул Дрогошевского 38;Разряд батарейки;2018-05-29 02:57:15;1;289;Ивановский Район
1064;Амурская Область Ивановский М Р с Черемхово 9a525cab-be05-4c17-ae6a-5cbe1709d89a  ул Кирова 117;Разряд батарейки;2018-05-29 03:27:35;1;289;Ивановский Район
1065;Амурская Область Ивановский М Р с Богородское 415d05e7-909a-40ed-9684-b9447a4d9bf3  ул Ленина 10;в ремонте;2017-11-13 10:37:36;1;289;Ивановский Район
1066;676985 Амурская обл Константиновский р-н с Верхняя  Полтавка 4e9b37ce-2032-4ea2-b838-aa3f0c1c1ccc ул Советская 45;Таксофон отзвонился;2018-05-28 19:43:20;1;289;Константиновский Район
1067;676996 Амурская обл Константиновский р-н с Верхний  Уртуй 74d2e302-cefd-4976-b05e-f24209deddee ул  Ленина 52;Разряд батарейки;2018-05-29 03:42:09;1;289;Константиновский Район
1068;676980 Амурская обл Константиновский р-н с Войково 6b583cab-78cb-46ad-addc-1a0232adb0d1 ул Центральная 26;Разряд батарейки;2018-05-28 09:20:45;1;289;Константиновский Район
